"","indicator_1","indicator_1a","indicator_1b","indicator_2","indicator_3","indicator_4","indicator_5","indicator_6","indicator_7d","indicator_8","indicator_9","indicator_11c","indicator_13","indicator_15","indicator_16","indicator_21","practice_id"
"1",0.5,0.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,0.2,NA,0.6,NA,NA,"Practice 01"
"2",0.555555555555556,0.529411764705882,1,0.0177514792899408,0.363636363636364,0.5,NA,NA,0.666666666666667,0.833333333333333,0.166666666666667,NA,NA,1,0.5,NA,"Practice 02"
"3",0.613138686131387,0.54954954954955,0.934782608695652,0.00288018433179724,0.552631578947369,0.570175438596491,0.103448275862069,0.00740740740740741,0.4,0.362962962962963,0.0360824742268041,0.00740740740740741,0.818181818181818,0.859259259259259,0.192307692307692,0.347826086956522,"Practice 03"
"4",0.446808510638298,0.303030303030303,0.68421052631579,0.0226063829787234,0.8,0.476190476190476,0.5,0.0444444444444444,0.571428571428571,0.533333333333333,0.171875,0.177777777777778,0.666666666666667,0.755555555555556,0.133333333333333,0.333333333333333,"Practice 04"
"5",0.25,NA,NA,0.0209424083769634,0.666666666666667,NA,NA,NA,NA,0.166666666666667,NA,NA,1,0.666666666666667,NA,1,"Practice 05"
"6",0.641025641025641,0.546511627906977,0.918918918918919,0.0345446388515029,0.481818181818182,0.424528301886792,0.333333333333333,0.0918918918918919,0.611111111111111,0.394594594594595,0.0478260869565217,0.00540540540540541,1,0.816216216216216,0.186046511627907,0.529411764705882,"Practice 06"
"7",0.769230769230769,0.571428571428571,0.857142857142857,0.0335570469798658,0.333333333333333,0.388888888888889,0.333333333333333,NA,0.333333333333333,0.52,0.194444444444444,0.08,1,0.84,NA,NA,"Practice 07"
"8",0.355555555555556,0.314285714285714,0.6,0.0781440781440781,0.533333333333333,0.636363636363636,0.4,0.0769230769230769,0.333333333333333,0.461538461538462,0.125,0.0512820512820513,0.666666666666667,0.769230769230769,NA,NA,"Practice 08"
"9",0.666666666666667,0.5,1,0.0473684210526316,0.5,0.5,NA,NA,NA,0.333333333333333,0.166666666666667,NA,1,0.833333333333333,NA,NA,"Practice 09"
"10",0.376811594202899,0.306122448979592,0.478260869565217,0.028169014084507,0.666666666666667,0.461538461538462,0.333333333333333,0.0444444444444444,0.666666666666667,0.355555555555556,0.0625,0.0888888888888889,1,0.8,0.111111111111111,0.636363636363636,"Practice 10"
"11",0.153846153846154,0.166666666666667,NA,0.0160583941605839,0.6,0.5,NA,NA,NA,0.5,0.0666666666666667,NA,1,0.6,NA,0.5,"Practice 11"
"12",0.5,0.454545454545455,1,0.0154004106776181,0.352941176470588,0.6875,NA,0.08,0.5,0.16,0.027027027027027,NA,1,0.76,NA,1,"Practice 12"
"13",0.431034482758621,0.318181818181818,0.789473684210526,0.0290365156181258,0.757575757575758,0.522727272727273,0.285714285714286,0.0470588235294118,0.6,0.423529411764706,0.0701754385964912,0.458823529411765,0.5,0.729411764705882,0.04,0.375,"Practice 13"
"14",0.777777777777778,0.6,1,0.0395136778115502,0.3,0.4375,0.333333333333333,0.0476190476190476,NA,0.142857142857143,0.119047619047619,NA,0.5,0.761904761904762,NA,0.5,"Practice 14"
"15",0.352941176470588,0.4,0.3,0.0174418604651163,0.470588235294118,0.466666666666667,0.2,0.0526315789473684,NA,0.315789473684211,0.0303030303030303,NA,0.5,0.578947368421053,0.1,0.6,"Practice 15"
"16",0.416666666666667,0.214285714285714,0.555555555555556,0.01985559566787,0.4375,0.307692307692308,NA,0.0344827586206897,0.333333333333333,0.275862068965517,0.0204081632653061,NA,1,0.758620689655172,0.142857142857143,0.2,"Practice 16"
"17",0.764705882352941,0.76,0.916666666666667,0.0541871921182266,0.786885245901639,0.371428571428571,0.181818181818182,0.0256410256410256,0.636363636363636,0.256410256410256,0.02,0.17948717948718,0.727272727272727,0.974358974358974,0.103448275862069,0.545454545454545,"Practice 18"
"18",0.461538461538462,0.416666666666667,1,0.00302114803625378,0.571428571428571,0.454545454545455,0.666666666666667,NA,1,0.285714285714286,0.05,0.238095238095238,1,0.714285714285714,NA,0.333333333333333,"Practice 19"
"19",0.333333333333333,NA,1,0.00823045267489712,1,1,NA,NA,NA,0.5,0.0416666666666667,NA,NA,0.5,NA,NA,"Practice 20"
"20",0.4375,0.4,1,0.00570613409415121,0.454545454545455,0.25,0.5,NA,NA,0.294117647058824,0.037037037037037,NA,NA,0.882352941176471,NA,0.25,"Practice 21"
"21",0.15,NA,0.333333333333333,0.00903614457831325,NA,0.5,0.25,0.2,NA,0.2,NA,NA,0.5,0.8,NA,NA,"Practice 22"
"22",0.641025641025641,0.592592592592593,0.8,0.0322115384615385,0.357142857142857,0.478260869565217,0.25,0.215686274509804,0.111111111111111,0.235294117647059,0.0645161290322581,0.0196078431372549,0.416666666666667,0.784313725490196,0.153846153846154,NA,"Practice 23"
"23",0.609756097560976,0.558823529411765,0.875,0.0333598093725179,0.461538461538462,0.58974358974359,0.125,0.0476190476190476,0.222222222222222,0.476190476190476,0.101694915254237,0.142857142857143,0.714285714285714,0.73015873015873,0.166666666666667,0.5,"Practice 24"
